Ref,countriesLow,ISO3,WHO_code,WHO_country,SHP_CNTRY_NAME,GlobalGood,sPDF,UNHCR,GBD_study,UNESA,WHO_surveillance
189,S. Sudan,SSD,SSD,S. Sudan,south sudan,south sudan,South Sudan,South Sudan,Sudan,South Sudan,South Sudan
193,Saint Helena,SHN,XXX,Saint Helena,XXX,Saint Helena,Saint Helena,Saint Helena,Saint Helena,Saint Helena,Saint Helena
127,Saint Lucia,LCA,XXX,Saint Lucia,XXX,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
238,Samoa,WSM,XXX,Samoa,XXX,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa
197,San Marino,SMR,XXX,San Marino,XXX,San Marino,San Marino,San Marino,San Marino,San Marino,San Marino
202,Sao Tome and Principe,STP,STP,Sao Tome and Principe,XXX,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
187,Saudi Arabia,SAU,SAA,Saudi Arabia,saudi arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
190,Senegal,SEN,SEN,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal
201,Serbia,SRB,XXX,Serbia,XXX,Serbia,Serbia,Serbia (and Kosovo: S/RES/1244 (1999)),Serbia,Serbia (and Kosovo: S/RES/1244 (1999)),Serbia
209,Seychelles,SYC,SEY,Seychelles,XXX,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles
195,Sierra Leone,SLE,SIL,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
191,Singapore,SGP,XXX,Singapore,XXX,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
208,Sint Maarten,SXM,XXX,Sint Maarten,XXX,Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten
204,Slovakia,SVK,XXX,Slovakia,XXX,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia
205,Slovenia,SVN,XXX,Slovenia,XXX,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia
194,Solomon Is.,SLB,XXX,Solomon Is.,XXX,Solomon Is.,Solomon Is.,Solomon Is.,Solomon Is.,Solomon Is.,Solomon Is.
199,Somalia,SOM,SOM,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia,Somalia
198,Somaliland,SOL,XXX,Somaliland,XXX,Somaliland,Somaliland,Somaliland,Somaliland,Somaliland,Somaliland
240,South Africa,ZAF,SOA,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa
67,Spain,ESP,XXX,Spain,XXX,Spain,Spain,Spain,Spain,Spain,Spain
129,Sri Lanka,LKA,LKA,Sri Lanka,sri lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
28,St. Barthelemy,BLM,XXX,St. Barthelemy,XXX,St. Barthelemy,St. Barthelemy,St. Barthelemy,St. Barthelemy,St. Barthelemy,St. Barthelemy
119,St. Kitts and Nevis,KNA,XXX,St. Kitts and Nevis,XXX,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis
135,St. Martin,MAF,XXX,St. Martin,XXX,St. Martin,St. Martin,St. Martin,St. Martin,St. Martin,St. Martin
200,St. Pierre and Miquelon,SPM,XXX,St. Pierre and Miquelon,XXX,St. Pierre and Miquelon,St. Pierre and Miquelon,St. Pierre and Miquelon,St. Pierre and Miquelon,St. Pierre and Miquelon,St. Pierre and Miquelon
